#Frame      Dis_00002
       1       2.0736
       2       2.0703
       3       2.0788
       4       2.1746
       5       2.1004
       6       2.0232
       7       2.0695
       8       2.1394
       9       2.0853
      10       2.0930
      11       1.9970
      12       2.0529
      13       2.0547
      14       2.0540
      15       2.0493
      16       2.0623
      17       2.0958
      18       2.0004
      19       2.0843
      20       2.0138
      21       2.0837
      22       2.0460
      23       2.0989
      24       2.1107
      25       2.0537
      26       2.0596
      27       2.1695
      28       2.0979
      29       2.1147
      30       2.0849
